occupation,count,share,cumulative_share,ksco_major_code,ksco_major_label,rule_hit,confidence,needs_review,previous_code,previous_rule_hit,rationale
중형 화물차 운전원,1146,0.001146,0.777018,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
일반 경찰관 및 수사관,1124,0.001124,0.778142,4,??? ???,kept:contains:경찰,high,no,4,contains:경찰,kept from draft; no stronger correction rule
해외 영업원,1117,0.001117,0.779259,5,?? ???,kept:contains:영업,high,no,5,contains:영업,kept from draft; no stronger correction rule
가스 배관공,1110,0.00111,0.780369,7,??? ? ?? ?? ???,kept:contains:배관,high,no,7,contains:배관,kept from draft; no stronger correction rule
전자제품 개발 기술자 및 연구원,1108,0.001108,0.781477,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
그 외 전기공학 기술자 및 연구원,1090,0.00109,0.782567,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
공공행정 전문가,1073,0.001073,0.78364,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
철도교통 관제사,1059,0.001059,0.784699,8,????? ?? ? ?? ???,kept:contains:철도,high,no,8,contains:철도,kept from draft; no stronger correction rule
농수산물 중개인 및 경매사,1057,0.001057,0.785756,5,?? ???,kept:contains:중개인,high,no,5,contains:중개인,kept from draft; no stronger correction rule
판금원,1045,0.001045,0.786801,7,??? ? ?? ?? ???,kept:exact,high,no,7,exact,kept from draft; no stronger correction rule
예약 및 접수 사무원,1043,0.001043,0.787844,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
철로 설치원,1039,0.001039,0.788883,7,??? ? ?? ?? ???,kept:contains:설치,high,no,7,contains:설치,kept from draft; no stronger correction rule
데이터 설계 및 프로그래머,1033,0.001033,0.789916,2,??? ? ?? ???,kept:suffix:프로그래머,high,no,2,suffix:프로그래머,kept from draft; no stronger correction rule
산불 감시원,995,0.000995,0.790911,4,??? ???,exact:?? ???,medium,yes,other,no_rule,protective monitoring service
냉난방기 관련 설비 조작원,994,0.000994,0.791905,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
프레스기 및 절단기 조작원,990,0.00099,0.792895,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
가스 점검원,984,0.000984,0.793879,7,??? ? ?? ?? ???,kept:exact,high,no,7,exact,kept from draft; no stronger correction rule
그 외 음식 서비스 종사원,970,0.00097,0.794849,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
검표원,969,0.000969,0.795818,4,??? ???,kept:exact,high,no,4,exact,kept from draft; no stronger correction rule
토목 제도사,964,0.000964,0.796782,7,??? ? ?? ?? ???,kept:contains:제도사,high,no,7,contains:제도사,kept from draft; no stronger correction rule
도로운송 사무원,955,0.000955,0.797737,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
회계사,949,0.000949,0.798686,2,??? ? ?? ???,kept:suffix:회계사,high,no,2,suffix:회계사,kept from draft; no stronger correction rule
고속철 기관사,947,0.000947,0.799633,8,????? ?? ? ?? ???,kept:exact,high,no,8,exact,kept from draft; no stronger correction rule
웹 운영자,936,0.000936,0.800569,2,??? ? ?? ???,kept:suffix:운영자,high,no,2,suffix:운영자,kept from draft; no stronger correction rule
모바일 애플리케이션 프로그래머,928,0.000928,0.801497,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
양식 조리사,926,0.000926,0.802423,4,??? ???,kept:contains:조리사,high,no,4,contains:조리사,kept from draft; no stronger correction rule
철도 기관사,872,0.000872,0.803295,8,????? ?? ? ?? ???,kept:contains:기관사,high,no,8,contains:기관사,kept from draft; no stronger correction rule
방문 고객 상담원,851,0.000851,0.804146,4,??? ???,kept:contains:상담원,high,no,4,contains:상담원,kept from draft; no stronger correction rule
컴퓨터 설치 및 수리원,850,0.00085,0.804996,7,??? ? ?? ?? ???,kept:contains:설치,high,no,7,contains:설치,kept from draft; no stronger correction rule
택배원,848,0.000848,0.805844,9,???? ???,exact:???,medium,yes,8,contains:택배,delivery worker; review exact KSCO
전문 간호사,843,0.000843,0.806687,2,??? ? ?? ???,kept:suffix:간호사,high,no,2,suffix:간호사,kept from draft; no stronger correction rule
보험 사무원,823,0.000823,0.80751,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
약사,810,0.00081,0.80832,2,??? ? ?? ???,kept:suffix:약사,high,no,2,suffix:약사,kept from draft; no stronger correction rule
데이터 관리 및 운영자,809,0.000809,0.809129,2,??? ? ?? ???,kept:suffix:운영자,high,no,2,suffix:운영자,kept from draft; no stronger correction rule
그 외 철도 및 전동차 기관사,808,0.000808,0.809937,8,????? ?? ? ?? ???,kept:contains:기관사,high,no,8,contains:기관사,kept from draft; no stronger correction rule
휠체어 리프트 설치 및 정비원,808,0.000808,0.810745,7,??? ? ?? ?? ???,kept:contains:설치,high,no,7,contains:설치,kept from draft; no stronger correction rule
배전반 조작원,807,0.000807,0.811552,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
기업 대표이사,799,0.000799,0.812351,1,???,kept:contains:대표,high,no,1,contains:대표,kept from draft; no stronger correction rule
의류 판매원,790,0.00079,0.813141,5,?? ???,kept:contains:판매,high,no,5,contains:판매,kept from draft; no stronger correction rule
관광버스 운전원,787,0.000787,0.813928,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
석유화학 기술자 및 연구원,782,0.000782,0.81471,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
행사 및 홍보 도우미,778,0.000778,0.815488,4,??? ???,kept:exact,high,no,4,exact,kept from draft; no stronger correction rule
웹 프로그래머,778,0.000778,0.816266,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
음식료품 판매원,776,0.000776,0.817042,5,?? ???,kept:contains:판매,high,no,5,contains:판매,kept from draft; no stronger correction rule
대출 모집인,776,0.000776,0.817818,5,?? ???,kept:contains:모집인,high,no,5,contains:모집인,kept from draft; no stronger correction rule
시스템 소프트웨어 설계 및 분석가,770,0.00077,0.818588,2,??? ? ?? ???,kept:contains:설계,high,no,2,contains:설계,kept from draft; no stronger correction rule
그 외 화물차 및 특수차 운전원,766,0.000766,0.819354,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
소규모 상점 일선 관리 종사원,760,0.00076,0.820114,1,???,exact:?? ??,medium,yes,other,no_rule,front-line manager
여행 사무원,759,0.000759,0.820873,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
"전직 건물 경비원, 현재 구직중",758,0.000758,0.821631,unemployed,??/?????,kept:contains:구직중,high,no,unemployed,contains:구직중,employment-status bucket is immutable
그 외 교육 전문가,753,0.000753,0.822384,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
정육가공원,753,0.000753,0.823137,7,??? ? ?? ?? ???,kept:contains:가공,high,no,7,contains:가공,kept from draft; no stronger correction rule
출납 창구 사무원,753,0.000753,0.82389,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
그 외 배달원,742,0.000742,0.824632,9,???? ???,exact:???,medium,yes,8,contains:배달,delivery worker; review exact KSCO
"전직 건물 청소원, 현재 구직중",732,0.000732,0.825364,unemployed,??/?????,kept:contains:구직중,high,no,unemployed,contains:구직중,employment-status bucket is immutable
전동차 기관사,723,0.000723,0.826087,8,????? ?? ? ?? ???,kept:exact,high,no,8,exact,kept from draft; no stronger correction rule
부동산 중개사,714,0.000714,0.826801,5,?? ???,kept:contains:중개사,high,no,5,contains:중개사,kept from draft; no stronger correction rule
그 외 판매 관련 단순 종사원,702,0.000702,0.827503,5,?? ???,kept:contains:판매,medium,yes,5,contains:판매,kept from draft; no stronger correction rule
머시닝센터 조작원,701,0.000701,0.828204,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
자동차공학 기술자 및 연구원,700,0.0007,0.828904,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
그 외 화학제품 생산기 조작원,698,0.000698,0.829602,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
그 외 건설·전기 및 생산 관련 관리자,698,0.000698,0.8303,1,???,kept:contains:관리자,high,no,1,contains:관리자,kept from draft; no stronger correction rule
음식 배달원,689,0.000689,0.830989,9,???? ???,exact:???,medium,yes,8,contains:배달,delivery worker; review exact KSCO
금속 세척기 조작원,685,0.000685,0.831674,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
부동산 감정 전문가,680,0.00068,0.832354,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
크레인 운전원,674,0.000674,0.833028,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
간병인,662,0.000662,0.83369,4,??? ???,kept:contains:간병,high,no,4,contains:간병,kept from draft; no stronger correction rule
금속공학 기술자 및 연구원,661,0.000661,0.834351,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
청소년 지도사,655,0.000655,0.835006,2,??? ? ?? ???,exact:??? ???,high,yes,9,contains:청소,"youth counselor/instructor, not cleaner"
금속제품 도장기 조작원,651,0.000651,0.835657,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
그 외 건축 마감 관련 기능 종사원,647,0.000647,0.836304,7,??? ? ?? ?? ???,kept:exact,high,no,7,exact,kept from draft; no stronger correction rule
그 외 시설 및 특수 경비원,642,0.000642,0.836946,9,???? ???,kept:contains:경비원,medium,yes,9,contains:경비원,kept from draft; no stronger correction rule
실업 교사,636,0.000636,0.837582,2,??? ? ?? ???,kept:suffix:교사,high,no,2,suffix:교사,kept from draft; no stronger correction rule
네트워크 시스템 개발자,629,0.000629,0.838211,2,??? ? ?? ???,kept:contains:개발,high,no,2,contains:개발,kept from draft; no stronger correction rule
"전직 경리 사무원, 현재 구직중",626,0.000626,0.838837,unemployed,??/?????,kept:contains:구직중,high,no,unemployed,contains:구직중,employment-status bucket is immutable
입학 사정관,622,0.000622,0.839459,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
소방시설 공사 기술자 및 연구원,621,0.000621,0.84008,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
가스 용접원,620,0.00062,0.8407,7,??? ? ?? ?? ???,kept:contains:용접,high,no,7,contains:용접,kept from draft; no stronger correction rule
로봇공학 기술자 및 연구원,618,0.000618,0.841318,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
커피 조리사,610,0.00061,0.841928,4,??? ???,kept:contains:조리사,high,no,4,contains:조리사,kept from draft; no stronger correction rule
미디어 콘텐츠 창작자,608,0.000608,0.842536,2,??? ? ?? ???,kept:contains:미디어 콘텐츠 창작자,high,no,2,contains:미디어 콘텐츠 창작자,kept from draft; no stronger correction rule
