occupation,count,share,cumulative_share,ksco_major_code,ksco_major_label,rule_hit,needs_review
공공행정 전문가,1073,0.001073,0.78364,2,전문가 및 관련 종사자,suffix:전문가,yes
철도교통 관제사,1059,0.001059,0.784699,8,장치·기계 조작 및 조립 종사자,contains:철도,yes
농수산물 중개인 및 경매사,1057,0.001057,0.785756,5,판매 종사자,contains:중개인,yes
판금원,1045,0.001045,0.786801,7,기능원 및 관련 기능 종사자,exact,yes
예약 및 접수 사무원,1043,0.001043,0.787844,3,사무 종사자,suffix:사무원,yes
철로 설치원,1039,0.001039,0.788883,7,기능원 및 관련 기능 종사자,contains:설치,yes
데이터 설계 및 프로그래머,1033,0.001033,0.789916,2,전문가 및 관련 종사자,suffix:프로그래머,yes
산불 감시원,995,0.000995,0.790911,other,기타/검토,no_rule,yes
냉난방기 관련 설비 조작원,994,0.000994,0.791905,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
프레스기 및 절단기 조작원,990,0.00099,0.792895,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
가스 점검원,984,0.000984,0.793879,7,기능원 및 관련 기능 종사자,exact,yes
그 외 음식 서비스 종사원,970,0.00097,0.794849,4,서비스 종사자,contains:서비스,yes
검표원,969,0.000969,0.795818,4,서비스 종사자,exact,yes
토목 제도사,964,0.000964,0.796782,7,기능원 및 관련 기능 종사자,contains:제도사,yes
도로운송 사무원,955,0.000955,0.797737,3,사무 종사자,suffix:사무원,yes
회계사,949,0.000949,0.798686,2,전문가 및 관련 종사자,suffix:회계사,yes
고속철 기관사,947,0.000947,0.799633,8,장치·기계 조작 및 조립 종사자,exact,yes
웹 운영자,936,0.000936,0.800569,2,전문가 및 관련 종사자,suffix:운영자,yes
모바일 애플리케이션 프로그래머,928,0.000928,0.801497,2,전문가 및 관련 종사자,exact,yes
양식 조리사,926,0.000926,0.802423,4,서비스 종사자,contains:조리사,yes
철도 기관사,872,0.000872,0.803295,8,장치·기계 조작 및 조립 종사자,contains:기관사,yes
방문 고객 상담원,851,0.000851,0.804146,4,서비스 종사자,contains:상담원,yes
컴퓨터 설치 및 수리원,850,0.00085,0.804996,7,기능원 및 관련 기능 종사자,contains:설치,yes
택배원,848,0.000848,0.805844,8,장치·기계 조작 및 조립 종사자,contains:택배,yes
전문 간호사,843,0.000843,0.806687,2,전문가 및 관련 종사자,suffix:간호사,yes
보험 사무원,823,0.000823,0.80751,3,사무 종사자,suffix:사무원,yes
약사,810,0.00081,0.80832,2,전문가 및 관련 종사자,suffix:약사,yes
데이터 관리 및 운영자,809,0.000809,0.809129,2,전문가 및 관련 종사자,suffix:운영자,yes
그 외 철도 및 전동차 기관사,808,0.000808,0.809937,8,장치·기계 조작 및 조립 종사자,contains:기관사,yes
휠체어 리프트 설치 및 정비원,808,0.000808,0.810745,7,기능원 및 관련 기능 종사자,contains:설치,yes
배전반 조작원,807,0.000807,0.811552,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
기업 대표이사,799,0.000799,0.812351,1,관리자,contains:대표,yes
의류 판매원,790,0.00079,0.813141,5,판매 종사자,contains:판매,yes
관광버스 운전원,787,0.000787,0.813928,8,장치·기계 조작 및 조립 종사자,contains:운전원,yes
석유화학 기술자 및 연구원,782,0.000782,0.81471,2,전문가 및 관련 종사자,suffix:연구원,yes
행사 및 홍보 도우미,778,0.000778,0.815488,4,서비스 종사자,exact,yes
웹 프로그래머,778,0.000778,0.816266,2,전문가 및 관련 종사자,exact,yes
음식료품 판매원,776,0.000776,0.817042,5,판매 종사자,contains:판매,yes
대출 모집인,776,0.000776,0.817818,5,판매 종사자,contains:모집인,yes
시스템 소프트웨어 설계 및 분석가,770,0.00077,0.818588,2,전문가 및 관련 종사자,contains:설계,yes
그 외 화물차 및 특수차 운전원,766,0.000766,0.819354,8,장치·기계 조작 및 조립 종사자,contains:운전원,yes
소규모 상점 일선 관리 종사원,760,0.00076,0.820114,other,기타/검토,no_rule,yes
여행 사무원,759,0.000759,0.820873,3,사무 종사자,suffix:사무원,yes
"전직 건물 경비원, 현재 구직중",758,0.000758,0.821631,unemployed,무직/비경제활동,contains:구직중,yes
그 외 교육 전문가,753,0.000753,0.822384,2,전문가 및 관련 종사자,suffix:전문가,yes
정육가공원,753,0.000753,0.823137,7,기능원 및 관련 기능 종사자,contains:가공,yes
출납 창구 사무원,753,0.000753,0.82389,3,사무 종사자,suffix:사무원,yes
그 외 배달원,742,0.000742,0.824632,8,장치·기계 조작 및 조립 종사자,contains:배달,yes
"전직 건물 청소원, 현재 구직중",732,0.000732,0.825364,unemployed,무직/비경제활동,contains:구직중,yes
전동차 기관사,723,0.000723,0.826087,8,장치·기계 조작 및 조립 종사자,exact,yes
부동산 중개사,714,0.000714,0.826801,5,판매 종사자,contains:중개사,yes
그 외 판매 관련 단순 종사원,702,0.000702,0.827503,5,판매 종사자,contains:판매,yes
머시닝센터 조작원,701,0.000701,0.828204,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
자동차공학 기술자 및 연구원,700,0.0007,0.828904,2,전문가 및 관련 종사자,suffix:연구원,yes
그 외 화학제품 생산기 조작원,698,0.000698,0.829602,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
그 외 건설·전기 및 생산 관련 관리자,698,0.000698,0.8303,1,관리자,contains:관리자,yes
음식 배달원,689,0.000689,0.830989,8,장치·기계 조작 및 조립 종사자,contains:배달,yes
금속 세척기 조작원,685,0.000685,0.831674,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
부동산 감정 전문가,680,0.00068,0.832354,2,전문가 및 관련 종사자,suffix:전문가,yes
크레인 운전원,674,0.000674,0.833028,8,장치·기계 조작 및 조립 종사자,contains:운전원,yes
간병인,662,0.000662,0.83369,4,서비스 종사자,contains:간병,yes
금속공학 기술자 및 연구원,661,0.000661,0.834351,2,전문가 및 관련 종사자,suffix:연구원,yes
청소년 지도사,655,0.000655,0.835006,9,단순노무 종사자,contains:청소,yes
금속제품 도장기 조작원,651,0.000651,0.835657,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
그 외 건축 마감 관련 기능 종사원,647,0.000647,0.836304,7,기능원 및 관련 기능 종사자,exact,yes
그 외 시설 및 특수 경비원,642,0.000642,0.836946,9,단순노무 종사자,contains:경비원,yes
실업 교사,636,0.000636,0.837582,2,전문가 및 관련 종사자,suffix:교사,yes
네트워크 시스템 개발자,629,0.000629,0.838211,2,전문가 및 관련 종사자,contains:개발,yes
"전직 경리 사무원, 현재 구직중",626,0.000626,0.838837,unemployed,무직/비경제활동,contains:구직중,yes
입학 사정관,622,0.000622,0.839459,2,전문가 및 관련 종사자,exact,yes
소방시설 공사 기술자 및 연구원,621,0.000621,0.84008,2,전문가 및 관련 종사자,suffix:연구원,yes
가스 용접원,620,0.00062,0.8407,7,기능원 및 관련 기능 종사자,contains:용접,yes
로봇공학 기술자 및 연구원,618,0.000618,0.841318,2,전문가 및 관련 종사자,suffix:연구원,yes
커피 조리사,610,0.00061,0.841928,4,서비스 종사자,contains:조리사,yes
미디어 콘텐츠 창작자,608,0.000608,0.842536,2,전문가 및 관련 종사자,contains:미디어 콘텐츠 창작자,yes
매장 계산원,607,0.000607,0.843143,5,판매 종사자,exact,yes
농업용 기계장비 기술 영업원,600,0.0006,0.843743,5,판매 종사자,contains:영업,yes
데스크 안내원,600,0.0006,0.844343,4,서비스 종사자,contains:안내원,yes
판매 사무원,599,0.000599,0.844942,3,사무 종사자,suffix:사무원,yes
그 외 기계장비 설치 및 정비원,599,0.000599,0.845541,7,기능원 및 관련 기능 종사자,contains:설치,yes
총무 및 인사 관리자,595,0.000595,0.846136,1,관리자,contains:관리자,yes
엘리베이터 설치 및 정비원,595,0.000595,0.846731,7,기능원 및 관련 기능 종사자,contains:설치,yes
반도체공학 기술자 및 연구원,586,0.000586,0.847317,2,전문가 및 관련 종사자,suffix:연구원,yes
화학물 가열 처리 장치 조작원,585,0.000585,0.847902,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
자동차 부품 기술 영업원,575,0.000575,0.848477,5,판매 종사자,contains:영업,yes
그 외 의복 제조 관련 기능 종사원,575,0.000575,0.849052,7,기능원 및 관련 기능 종사자,contains:기능,yes
보험 중개인,574,0.000574,0.849626,5,판매 종사자,contains:중개인,yes
농약·비료 기술자 및 연구원,570,0.00057,0.850196,2,전문가 및 관련 종사자,suffix:연구원,yes
그 외 금속·재료 공학 기술자 및 연구원,566,0.000566,0.850762,2,전문가 및 관련 종사자,suffix:연구원,yes
제품 단순 선별원,563,0.000563,0.851325,9,단순노무 종사자,contains:단순,yes
화학물 증류기 및 반응기 조작원,560,0.00056,0.851885,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
가죽 및 모피 가공원,559,0.000559,0.852444,7,기능원 및 관련 기능 종사자,contains:가공,yes
시외 및 고속 버스 운전원,558,0.000558,0.853002,8,장치·기계 조작 및 조립 종사자,contains:운전원,yes
자동 재봉설비 조작원,558,0.000558,0.85356,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
교사 교육 보조원,557,0.000557,0.854117,3,사무 종사자,suffix:보조원,yes
그 외 경호 및 보안 관련 종사원,550,0.00055,0.854667,4,서비스 종사자,contains:경호,yes
전산 자료 입력원,540,0.00054,0.855207,3,사무 종사자,exact,yes
투자 권유 대행인,540,0.00054,0.855747,5,판매 종사자,contains:투자 권유,yes
그 외 산업 안전 및 위험 관리원,539,0.000539,0.856286,2,전문가 및 관련 종사자,exact,yes
산업 특화 소프트웨어 프로그래머,539,0.000539,0.856825,2,전문가 및 관련 종사자,suffix:프로그래머,yes
그 외 바닥재 시공원,536,0.000536,0.857361,7,기능원 및 관련 기능 종사자,exact,yes
그 외 냉동·냉장·공조기 설치 및 정비원,533,0.000533,0.857894,7,기능원 및 관련 기능 종사자,contains:설치,yes
건축 제도사,531,0.000531,0.858425,7,기능원 및 관련 기능 종사자,exact,yes
금속 열처리로 조작원,528,0.000528,0.858953,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
광고 및 홍보 사무원,525,0.000525,0.859478,3,사무 종사자,suffix:사무원,yes
육군 병사,523,0.000523,0.860001,A,군인,exact,yes
인조석 설치원,521,0.000521,0.860522,7,기능원 및 관련 기능 종사자,contains:설치,yes
시스템 소프트웨어 프로그래머,517,0.000517,0.861039,2,전문가 및 관련 종사자,suffix:프로그래머,yes
육아 도우미,513,0.000513,0.861552,4,서비스 종사자,exact,yes
인쇄 관련 기능 종사원,512,0.000512,0.862064,7,기능원 및 관련 기능 종사자,exact,yes
초등학교 교사,510,0.00051,0.862574,2,전문가 및 관련 종사자,suffix:교사,yes
"전직 사무 보조원, 현재 구직중",507,0.000507,0.863081,unemployed,무직/비경제활동,contains:구직중,yes
그 외 금속가공 기계 조작원,506,0.000506,0.863587,8,장치·기계 조작 및 조립 종사자,contains:조작원,yes
건물 전기 및 전자설비 조작원,499,0.000499,0.864086,8,장치·기계 조작 및 조립 종사자,contains:조작원,
무역 사무원,498,0.000498,0.864584,3,사무 종사자,suffix:사무원,
제빵사 및 제과원,491,0.000491,0.865075,7,기능원 및 관련 기능 종사자,contains:제빵,
마케팅 관리자,487,0.000487,0.865562,1,관리자,contains:관리자,
시각장애인 특수교육 교사,485,0.000485,0.866047,2,전문가 및 관련 종사자,suffix:교사,
택시 운전원,483,0.000483,0.86653,8,장치·기계 조작 및 조립 종사자,contains:운전원,
화학 연구원,483,0.000483,0.867013,2,전문가 및 관련 종사자,suffix:연구원,
호송 경비원,482,0.000482,0.867495,9,단순노무 종사자,contains:경비원,
주입·포장 및 봉함기 조작원,480,0.00048,0.867975,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그 외 고객 상담 사무원,479,0.000479,0.868454,3,사무 종사자,suffix:사무원,
재무 관리자,479,0.000479,0.868933,1,관리자,contains:관리자,
그 외 용접원,478,0.000478,0.869411,7,기능원 및 관련 기능 종사자,contains:용접,
화학물 여과기 및 분리기 조작원,476,0.000476,0.869887,8,장치·기계 조작 및 조립 종사자,contains:조작원,
전기제어장치 설치 및 정비원,476,0.000476,0.870363,8,장치·기계 조작 및 조립 종사자,contains:장치,
컴퓨터 시스템 설계 및 분석가,473,0.000473,0.870836,2,전문가 및 관련 종사자,contains:설계,
구급 요원,470,0.00047,0.871306,other,기타/검토,no_rule,yes
그 외 공업기계 설치 및 정비원,466,0.000466,0.871772,7,기능원 및 관련 기능 종사자,contains:설치,
특수 경비원,459,0.000459,0.872231,9,단순노무 종사자,contains:경비원,
선반기 조작원,451,0.000451,0.872682,8,장치·기계 조작 및 조립 종사자,contains:조작원,
대리 주차원,447,0.000447,0.873129,4,서비스 종사자,exact,
보험 설계사,444,0.000444,0.873573,2,전문가 및 관련 종사자,contains:설계,
이삿짐 운반원,444,0.000444,0.874017,9,단순노무 종사자,exact,
중고차 영업원,443,0.000443,0.87446,5,판매 종사자,contains:영업,
공연·영화 및 음반 기획자,440,0.00044,0.8749,2,전문가 및 관련 종사자,suffix:기획자,
"전직 경영 기획 사무원, 현재 구직중",439,0.000439,0.875339,unemployed,무직/비경제활동,contains:구직중,
토목 관련 관리자,438,0.000438,0.875777,1,관리자,contains:관리자,
기계 경비원,438,0.000438,0.876215,9,단순노무 종사자,contains:경비원,
"전직 일반 비서, 현재 구직중",431,0.000431,0.876646,unemployed,무직/비경제활동,contains:구직중,
교통 계획 및 설계가,429,0.000429,0.877075,2,전문가 및 관련 종사자,contains:설계,
공학·제조 및 건설 분야 교수,427,0.000427,0.877502,2,전문가 및 관련 종사자,suffix:교수,
"전직 시설 경비원, 현재 구직중",424,0.000424,0.877926,unemployed,무직/비경제활동,contains:구직중,
제관원,424,0.000424,0.87835,7,기능원 및 관련 기능 종사자,exact,
건축감리 기술자,422,0.000422,0.878772,2,전문가 및 관련 종사자,suffix:기술자,
변리사,419,0.000419,0.879191,2,전문가 및 관련 종사자,suffix:변리사,
쓰레기 수거원,419,0.000419,0.87961,9,단순노무 종사자,exact,
그 외 운송장비 조립원,418,0.000418,0.880028,8,장치·기계 조작 및 조립 종사자,contains:조립,
주류 서비스 종사원,418,0.000418,0.880446,4,서비스 종사자,contains:서비스,
"전직 전화 상담원, 현재 구직중",415,0.000415,0.880861,unemployed,무직/비경제활동,contains:구직중,
잠수 기능원,412,0.000412,0.881273,7,기능원 및 관련 기능 종사자,exact,
그 외 미용 관련 서비스 종사원,410,0.00041,0.881683,4,서비스 종사자,contains:서비스,
언어재활사,406,0.000406,0.882089,other,기타/검토,no_rule,yes
식품공학 기술자 및 연구원,405,0.000405,0.882494,2,전문가 및 관련 종사자,suffix:연구원,
"전직 하역 및 적재 관련 단순 종사원, 현재 구직중",402,0.000402,0.882896,unemployed,무직/비경제활동,contains:구직중,
웨딩플래너,401,0.000401,0.883297,2,전문가 및 관련 종사자,suffix:플래너,
방수공,400,0.0004,0.883697,7,기능원 및 관련 기능 종사자,exact,
그 외 환경미화원 및 재활용품 수거원,398,0.000398,0.884095,9,단순노무 종사자,exact,
농약 및 비료 시험원,388,0.000388,0.884483,other,기타/검토,no_rule,yes
체인점 모집 및 관리 영업원,386,0.000386,0.884869,5,판매 종사자,contains:영업,
신차 영업원,385,0.000385,0.885254,5,판매 종사자,contains:영업,
소방설계 기술자 및 연구원,384,0.000384,0.885638,2,전문가 및 관련 종사자,suffix:연구원,
아파트 경비원,384,0.000384,0.886022,9,단순노무 종사자,contains:경비원,
수의사,382,0.000382,0.886404,2,전문가 및 관련 종사자,suffix:의사,
음료 배달원,379,0.000379,0.886783,4,서비스 종사자,contains:음료,
산후조리 종사원,379,0.000379,0.887162,4,서비스 종사자,exact,
사진가,378,0.000378,0.88754,2,전문가 및 관련 종사자,suffix:사진가,
철도 고가 전선 가설원,376,0.000376,0.887916,8,장치·기계 조작 및 조립 종사자,contains:철도,
"전직 보육교사, 현재 구직중",375,0.000375,0.888291,unemployed,무직/비경제활동,contains:구직중,
게임 프로그래머,374,0.000374,0.888665,2,전문가 및 관련 종사자,suffix:프로그래머,
신용카드 모집인,372,0.000372,0.889037,5,판매 종사자,contains:모집인,
사회 교사,370,0.00037,0.889407,2,전문가 및 관련 종사자,suffix:교사,
금형공학 기술자 및 연구원,370,0.00037,0.889777,2,전문가 및 관련 종사자,suffix:연구원,
자동 재단기 조작원,369,0.000369,0.890146,8,장치·기계 조작 및 조립 종사자,contains:조작원,
일반영양사,367,0.000367,0.890513,2,전문가 및 관련 종사자,suffix:영양사,
분식 조리사,367,0.000367,0.89088,4,서비스 종사자,contains:조리사,
품질 인증 심사 전문가,366,0.000366,0.891246,2,전문가 및 관련 종사자,suffix:전문가,
금속절곡기 조작원,366,0.000366,0.891612,8,장치·기계 조작 및 조립 종사자,contains:조작원,
